相关程度百分比,客观指标
0.9540220418446222,人均GDP（元/人）
0.5231623883627594,城镇调查失业率（%）倒数
0.8463237952571674,城镇居民可支配收入
0.9305639875362917,平均工资（元）
0.9660413779934869,PM2.5平均浓度（微克/立方米）倒数
0.9635519279482128,污水处理率（%）
0.5458333333333478,城镇生活垃圾无公害化处理率（%）
0.5190765126188002,区域环境噪声平均值（分贝）倒数
0.7571428571428571,城市绿化覆盖率（%）
0.7760942449543595,城镇居民基本医疗保险人数占常驻人口比（%）
0.8990964285456848,企业职工基本养老保险（万人）
0.9586341935455116,执业（助理）医师数
0.8934180759072835,科技活动人员数
0.8856406554262394,研究与试验发展人数（人）
0.859155910965971,研究与试验发展经费（万元）
0.5446428571428571,普通高等学校招收本专科学生（万人）
0.9158464437561149,教育经费支出（万元）
0.8855624909799387,全市公路里程（公里）
0.47177694638457096,公共交通运营线路长度（公里）
0.8233193277310926,基础设施投资占全社会固定资产投资比重
0.7648090032296015,基础设施投资（亿元）
0.8947443664173818,公共服务业投资（亿元）
0.9137714446590594,交通运输投资（亿元）
0.6282927141303651,邮政电信投资（亿元）
0.999999999999996,人均公园绿地面积（平方米/人）
0.43476713489510566,公共交通客运量（万人次）
