相关程度百分比,客观指标
1.0,满意度综合指数
0.7880326659910073,人均GDP（元/人）
0.7511672297264458,城镇调查失业率（%）倒数
0.7465410829605176,城镇居民可支配收入
0.7431115769534434,平均工资（元）
0.7371644766433844,PM2.5平均浓度（微克/立方米）倒数
0.7369971421878485,污水处理率（%）
0.7252949429534734,城镇生活垃圾无公害化处理率（%）
0.7091701176263828,区域环境噪声平均值（分贝）倒数
0.6997346878480807,城市绿化覆盖率（%）
0.686598587853614,城镇居民基本医疗保险人数占常驻人口比（%）
0.6688558637201458,企业职工基本养老保险（万人）
0.6669206820951898,执业（助理）医师数
0.6598394582389212,科技活动人员数
0.6579306529779521,研究与试验发展人数（人）
0.6405768739030211,研究与试验发展经费（万元）
0.6391804940914082,普通高等学校招收本专科学生（万人）
0.6312530285409834,教育经费支出（万元）
0.6273994968209267,全市公路里程（公里）
0.6181550334800999,公共交通运营线路长度（公里）
0.608534894993196,基础设施投资占全社会固定资产投资比重
0.5665253142211009,基础设施投资（亿元）
0.5647991210945197,公共服务业投资（亿元）
0.5314670950313349,交通运输投资（亿元）
0.5297077991210641,邮政电信投资（亿元）
0.508233843447824,人均公园绿地面积（平方米/人）
0.4877188626075726,公共交通客运量（万人次）
