日期,交通出行,住房条件,基础设施,休闲娱乐,公共安全,环境健康,科技文化,社会公平
2015-7,382,22,12,20,194,45,96,69
2015-8,410,192,0,47,19,482,41,255
2015-9,41,111,0,37,23,154,39,53
2015-10,18,156,9,53,42,356,71,52
2015-11,207,206,1,33,261,548,1604,51
2015-12,556,152,0,178,132,1023,1389,252
2016-1,2795,3627,86,748,14637,3832,1716,997
2016-2,117,404,1,50,11,68,74,61
2016-3,156,375,5,26,242,326,162,54
2016-4,112,97,11,277,617,107,32,68
2016-5,233,255,71,50,30,84,613,1357
2016-6,78,374,34,62,65,212,1809,1267
2016-7,927,460,0,405,341,307,198,110
2016-8,1418,386,0,536,856,39,478,172
2016-9,922,1445,0,137,108,831,158,33
2016-10,614,1291,45,364,509,133,429,69
2016-11,289,1246,8,225,12663,1318,203,112
2016-12,243,835,2,111,1297,1903,943,564
2017-1,1406,3456,20,1222,9397,3341,1787,854
2017-2,507,774,5,152,652,319,59,80
2017-3,910,7386,14,287,475,51,2831,142
2017-4,707,2743,0,82,205,65,879,827
2017-5,418,311,0,368,257,98,86,1190
2017-6,1281,1956,6,103,518,10,3265,1736
2017-7,351,1100,1,23,538,22,388,156
2017-8,581,974,9,90,156,56,114,66
2017-9,277,1758,0,212,93,335,183,1
2017-10,188,787,12,128,125,160,174,248
2017-11,402,652,0,209,1046,97,125,158
2017-12,499,925,8,257,830,771,985,220
2018-1,1665,1004,1,209,332,1442,395,183
2018-2,1516,567,0,402,757,341,90,15
2018-3,133,1004,0,103,124,741,1008,529
2018-4,931,350,0,1040,222,498,248,67
2018-5,152,826,4,267,126,646,636,64
2018-6,763,1151,11,433,169,132,1783,1051
2018-7,677,1251,0,331,149,87,520,13
2018-8,1003,2543,21,243,267,24,307,319
2018-9,3212,980,42,802,339,55,1564,469
2018-10,68,19,0,61,9,1,34,1
